Close,Date,5-day average
91.32,2022-02-07 00:00,90.072
89.36,2022-02-08 00:00,90.304
89.66,2022-02-09 00:00,90.584
89.88,2022-02-10 00:00,90.506
93.1,2022-02-11 00:00,90.66399999999999
95.46,2022-02-14 00:00,91.49199999999999
92.07,2022-02-15 00:00,92.034
93.66,2022-02-16 00:00,92.83399999999999
91.76,2022-02-17 00:00,93.21
91.07,2022-02-18 00:00,92.804
91.91,2022-02-22 00:00,92.094
92.1,2022-02-23 00:00,92.1
99.67,2022-02-24 00:00,93.30199999999999
95.72,2022-02-28 00:00,94.09400000000001
103.41,2022-03-01 00:00,96.56199999999998
110.6,2022-03-02 00:00,100.3
107.67,2022-03-03 00:00,103.41399999999999
115.68,2022-03-04 00:00,106.61600000000001
119.4,2022-03-07 00:00,111.352
123.7,2022-03-08 00:00,115.41000000000001
108.7,2022-03-09 00:00,115.03
106.02,2022-03-10 00:00,114.7
109.33,2022-03-11 00:00,113.42999999999999
103.01,2022-03-14 00:00,110.152
96.44,2022-03-15 00:00,104.7
95.04,2022-03-16 00:00,101.96799999999999
102.98,2022-03-17 00:00,101.36
104.7,2022-03-18 00:00,100.434
112.12,2022-03-21 00:00,102.256
109.27,2022-03-22 00:00,104.822
114.93,2022-03-23 00:00,108.8
112.34,2022-03-24 00:00,110.672
113.9,2022-03-25 00:00,112.51200000000001
105.96,2022-03-28 00:00,111.28
104.24,2022-03-29 00:00,110.274
107.82,2022-03-30 00:00,108.852
100.28,2022-03-31 00:00,106.43999999999998
